NP,CLAVE,NOMBRE
1,2000000000,COMPONENTE BÁSICO INICIAL
2,2012000001,CAPACITACIÓN DOCENTE EN LA ENSEÑANZA
3,2012000002,"COMPONENTE BÁSICO,"
4,2012000003,IDENTIFICAR Y TRADUCIR TEXTOS.
5,2012000004,COMPONENTE BÁSICO INICIAL MIXTO
6,2012100001,ASISTENTE EDUCATIVO
7,2012100002,AUXILIAR EDUCADORA
8,2012100003,EDUCACIÓN PREESCOLAR
9,2012100004,EDUCADORA TÉCNICA EN PREESCOLAR
10,2012601001,TAE KWON DO E INSTRUCTOR
11,2012602001,EDUCACIÓN ARTÍSTICA
12,2012602002,EDUCACIÓN MUSICAL
13,2012602003,INSTRUCTOR EN DANZA CLÁSICA
14,2012602004,INSTRUCTORÍA EN ARTES PLÁSTICAS
15,2012602005,INSTRUCTORÍA EN MÚSICA
16,2012602006,PROFESOR EN DANZA
17,2012602007,INSTRUCTOR DE ACTIVIDADES ARTÍSTICAS
18,2012602008,MAESTRO EN COMPOSICIÓN
19,2012602009,PROFESOR DE CANTO
20,2012602010,PROFESOR DE GUITARRA
21,2012602011,"PROFESOR DE INSTRUMENTOS (FLAUTA, OBOE, CLARINTE, SAXOFÓN, CORNETE FRANCÉS, TROMPETA, TROMBÓN, TUBA, PERCUSIÓN, VIOLÍN, VIOLA, VIOLONCHELO Y CONTRABAJO)"
22,2012602012,PROFESOR DE MÚSICA ESCOLAR
23,2012602013,PROFESOR DE PIANO
24,2012602014,TÉCNICO EN EDUCACIÓN ARTÍSTICA CON LA OPCIÓN DE DANZA
25,2012602015,TÉCNICO EN EDUCACIÓN ARTÍSTICA CON OPCIÓN EN DANZA
26,2012603001,INSTRUCTOR EN LA ENSEÑANZA DE LA LENGUA INGLESA
27,2012603002,ENSEÑANZA DEL IDIOMA INGLES
28,2012603003,INGLES COMUNICATIVO INTERMEDIO
29,2012604001,TÉCNICO PROFESIONAL EN PUERICULTURA
30,2012701001,DESARROLLO INFANTIL
31,2012701002,EDUCACIÓN INFANTIL
32,2012701003,PUERICULTURA
33,2012701004,ATENCIÓN INFANTIL
34,2012701005,ASISTENTE INFANTIL
35,2021000001,"DIRECCIÓN, PRODUCCIÓN Y GESTIÓN DE ARTES, MÚSICA Y MULTIMEDIA"
36,2021000002,TÉCNICO EN DISEÑO GRÁFICO INTERACTIVO  
37,2021000003,TÉCNICO EN CONFECCIÓN Y DISEÑO DE MODAS
38,2021000004,TECNICO EN DIBUJO Y PINTURA   
39,2021000005,TÉCNICO PROFESIONAL EN ARTES Y HUMANIDADES
40,2021100001,APLICACIÓN DE LAS ARTES
41,2021100002,ARTES PLÁSTICAS
42,2021100003,DIBUJO DE CARICATURAS HUMORÍSTICAS
43,2021100004,DIBUJO Y PINTURA
44,2021100005,DIBUJO HUMORÍSTICO Y ANIMACIÓN
45,2021100006,TÉCNICO PROFESIONAL EN MUSEOGRAFÍA
46,2021200001,BAILARÍN INTÉRPRETE
47,2021200002,DANZA
48,2021200003,DANZA FOLCLÓRICA MEXICANA
49,2021200004,DANZA FOLKLÓRICA
50,2021200005,DANZA TRADICIONAL MEXICANA
51,2021200006,EJECUTANTE EN DANZA CLÁSICA
52,2021200007,INTÉRPRETE DE DANZA DE CONCIERTO
53,2021200008,TEATRO
54,2021200009,DIRECCIÓN DE ARTE
55,2021200010,ARTE TEATRAL
56,2021200011,ARTES ESCENICAS
57,2021200012,ACTUACIÓN
58,2021200013,TÉCNICO PROFESIONAL EN DANZA REGIONAL MEXICANA
59,2021200014,PROFESIONAL TÉCNICO EN DANZA CLÁSICA
60,2021200015,PROFESIONAL TECNICO EN DANZA CLASICA
61,2021200016,TÉCNICO EJECUTANTE DE DANZA CLÁSICA BALLET
62,2021200017,TÉCNICO EJECUTANTE DE DANZA CLÁSICA BALLET
63,2021200018,TÉCNICO EN BALLET CLÁSICO 
