NP,CLAVE,NOMBRE
1,6011500001,ESPECIALIDAD EN CIENCIAS DE LA EDUCACIÓN
2,6011500002,ESPECIALIDAD EN EDUCACIÓN
3,6012000001,ESPECIALIDAD EN HABILIDADES DOCENTES
4,6011100002,ESPECIALIDAD EN DESARROLLO DE HABILIDADES DOCENTES
5,6011100003,ESPECIALIDAD EN DIDÁCTICA
6,6011100004,ESPECIALIDAD EN DISEÑO CURRICULAR
7,6011100005,ESPECIALIDAD EN DISEÑO DE EXPERIENCIAS DE APRENDIZAJE
8,6011100006,ESPECIALIDAD EN ENSEÑANZA Y APRENDIZAJES ESCOLARES
9,6011100007,ESPECIALIDAD EN ESTRATEGIAS DE APRENDIZAJE
10,6011100008,ESPECIALIDAD EN ESTRATEGIAS DIDÁCTICAS
11,6011100009,ESPECIALIDAD EN METODOLOGÍA DE LA ENSEÑANZA
12,6012604010,ESPECIALIDAD EN METODOLOGÍA DE LA ENSEÑANZA DE LAS MATEMÁTICAS
13,6011100011,ESPECIALIDAD EN PEDAGOGÍA MONTESSORI
14,6011100012,ESPECIALIDAD EN PEDAGOGÍA SISTEMÁTICA
15,6011200004,ESPECIALIDAD EN CALIDAD EDUCATIVA
16,6011500005,ESPECIALIDAD EN EDUCACIÓN BASADA EN COMPETENCIAS
17,6011200005,ESPECIALIDAD EN INVESTIGACIÓN EDUCATIVA
18,6011200006,ESPECIALIDAD EN METODOLOGÍA PARA LA INVESTIGACIÓN EDUCATIVA
19,6011200007,ESPECIALIDAD EN PLANEACIÓN EDUCATIVA
20,6011200008,ESPECIALIDAD EN POLÍTICA Y GESTIÓN EDUCATIVA
21,6011300001,ESPECIALIDAD EN ORIENTACIÓN EDUCATIVA
22,6011300002,ESPECIALIDAD EN ORIENTACIÓN PSICOPEDAGÓGICA
23,6011400001,ESPECIALIDAD EN EDUCACIÓN Y NUEVAS TECNOLOGÍAS
24,6011400002,ESPECIALIDAD EN TECNOLOGÍA EDUCATIVA
25,6011400003,ESPECIALIDAD EN TECNOLOGÍAS INFORMÁTICAS APLICADAS A LA EDUCACIÓN
26,6012000012,ESPECIALIDAD EN DOCENCIA
27,6012000013,ESPECIALIDAD EN FORMACIÓN DOCENTE
28,6012500001,ESPECIALIDAD EN FORMACIÓN DOCENTE EN LA EDUCACIÓN NORMAL
29,6012300001,ESPECIALIDAD EN ENSEÑANZA DE LA EDUCACIÓN BÁSICA
30,6012604002,ESPECIALIDAD EN DIDÁCTICA DE LAS MATEMÁTICAS
31,6012500003,ESPECIALIDAD EN DOCENCIA SUPERIOR
32,6012500004,ESPECIALIDAD EN DOCENCIA UNIVERSITARIA
33,6011000002,ESPECIALIDAD EN EDUCACIÓN HUMANISTA
34,6012500005,ESPECIALIDAD EN EDUCACIÓN SUPERIOR
35,6012500006,ESPECIALIDAD EN ENSEÑANZA UNIVERSITARIA
36,6012602001,ESPECIALIDAD EN EDUCACIÓN ARTÍSTICA
37,6021100001,ESPECIALIDAD EN APRECIACIÓN DE LAS ARTES
38,6021000001,ESPECIALIDAD EN HISTORIA DEL ARTE
39,6021100002,ESPECIALIDAD EN RESTAURACIÓN DE SITIOS Y MONUMENTOS
40,6021400001,ESPECIALIDAD EN ANIMACIÓN Y POSTPRODUCCIÓN DIGITAL
41,6021500001,ESPECIALIDAD EN ANIMACIÓN Y DISEÑO DIGITAL
42,6021500002,ESPECIALIDAD EN COMUNICACIÓN GRÁFICA
43,6021500003,ESPECIALIDAD EN COMUNICACIÓN VISUAL
44,6021600001,ESPECIALIDAD EN DISEÑO DE ESPACIOS COMERCIALES
45,6021500004,ESPECIALIDAD EN DISEÑO DIGITAL
46,6021500005,ESPECIALIDAD EN DISEÑO EDITORIAL
47,6021500006,ESPECIALIDAD EN DISEÑO PUBLICITARIO
48,6021400003,ESPECIALIDAD EN ILUSTRACIÓN
49,6021400004,ESPECIALIDAD EN PRODUCCIÓN Y POSTPRODUCCIÓN DE ANIMACIÓN 3D
50,6021400005,ESPECIALIDAD EN VISUALIZACIÓN CREATIVA
51,6021500011,ESPECIALIDAD EN DISEÑO
52,6021600002,ESPECIALIDAD EN DISEÑO DEL CALZADO
53,6021600003,ESPECIALIDAD EN DISEÑO DE INTERIORES
54,6021600004,ESPECIALIDAD EN DISEÑO DEL MUEBLE
55,6021600005,ESPECIALIDAD EN DISEÑO TEXTIL
56,6022200001,ESPECIALIDAD EN TRADUCCIÓN E INTERPRETACIÓN
57,6022100001,ESPECIALIDAD EN TEOLOGÍA ESPIRITUAL
58,6012604005,ESPECIALIDAD EN ENSEÑANZA DEL ESPAÑOL
59,6012603010,ESPECIALIDAD EN LA ENSEÑANZA DEL ALEMÁN COMO LENGUA EXTRANJERA
60,6022200003,ESPECIALIDAD EN TRADUCCIÓN TÉCNICA
61,6012604006,ESPECIALIDAD EN LA ENSEÑANZA DE LA LENGUA Y LA LITERATURA
62,6022400001,ESPECIALIDAD EN LINGÜÍSTICA APLICADA A LA ADQUISICIÓN DE UNA PRIMERA
63,6022300001,ESPECIALIDAD EN LITERATURA INGLESA Y NORTEAMERICANA
64,6022300002,ESPECIALIDAD EN LITERATURA MEXICANA DEL SIGLO XX
65,6022500001,ESPECIALIDAD EN HISTORIA ANTIGUA DE LA HUASTECA
66,6021000002,ESPECIALIDAD EN HISTORIA DEL ARTE MEXICANO
67,6022500002,ESPECIALIDAD EN HISTORIOGRAFÍA
68,6021100003,ESPECIALIDAD EN MUSEOGRAFÍA
69,6031200001,ESPECIALIDAD EN ANTROPOLOGÍA Y ÉTICA
70,6022600001,ESPECIALIDAD EN BIOÉTICA
71,6022600002,ESPECIALIDAD EN CONSEJERÍA EN FILOSOFÍA EXISTENCIAL
