NP,CLAVE,NOMBRE
1,4011100001,PROFESIONAL ASOCIADO EN ESTRATEGIAS DE ENSEÑANZA,
2,4011400001,PROFESIONAL ASOCIADO EN EDUCACIÓN DIGITAL,
3,4011400002,PROFESIONAL ASOCIADO EN PRODUCCIÓN MULTIMEDIA EDUCATIVA,
4,4012604001,PROFESOR DE MATEMÁTICAS,
5,4012602001,TÉCNICO SUPERIOR UNIVERSITARIO EN DANZA CLÁSICA CON LÍNEA DE TRABAJO DE DOCENCIA,
6,4012602002,TÉCNICO SUPERIOR UNIVERSITARIO EN EDUCACIÓN MUSICAL,
7,4021100001,PROFESIONAL ASOCIADO EN ARTES VISUALES,
8,4021100002,TÉCNICO SUPERIOR UNIVERSITARIO EN ARTES VISUALES,
9,4021200002,PROFESIONAL ASOCIADO EN DANZA CONTEMPORÁNEA,
10,4021300001,PROFESIONAL ASOCIADO EN MÚSICA,
11,4021300002,TÉCNICO SUPERIOR UNIVERSITARIO EJECUTANTE,
12,4021300003,TÉCNICO SUPERIOR UNIVERSITARIO EN CANTO,
13,4021200003,TÉCNICO SUPERIOR UNIVERSITARIO EN DANZA CLÁSICA CON LÍNEA DE TRABAJO DE BAILARÍN,
14,4021200004,TÉCNICO SUPERIOR UNIVERSITARIO EN DANZA CLÁSICA CON LÍNEA DE TRABAJO DE BAILARÍN (PLAN ESPECIAL PARA VARONES),
15,4021200005,TÉCNICO SUPERIOR UNIVERSITARIO EN DANZA MEXICANA,
16,4021300004,TÉCNICO SUPERIOR UNIVERSITARIO EN EJECUCIÓN MUSICAL,
17,4021300005,TÉCNICO SUPERIOR UNIVERSITARIO EN INSTRUMENTISTA EJECUTANTE,
18,4021300006,TÉCNICO SUPERIOR UNIVERSITARIO EN MÚSICA,
19,4021400002,PROFESIONAL ASOCIADO EN AUDIO,
20,4021400003,PROFESIONAL ASOCIADO EN PRODUCCIÓN DE ESPECTÁCULOS,
21,4021400004,PROFESIONAL ASOCIADO EN PRODUCCIÓN MULTIMEDIA,
22,4021500001,TÉCNICO SUPERIOR UNIVERSITARIO EN DISEÑO ASISTIDO POR COMPUTADORA,
23,4021500002,TÉCNICO SUPERIOR UNIVERSITARIO EN DISEÑO GRÁFICO,
24,4021500004,TÉCNICO SUPERIOR UNIVERSITARIO EN DISEÑO PUBLICITARIO,
25,4021400005,TÉCNICO SUPERIOR UNIVERSITARIO EN FOTOGRAFÍA,
26,4021400006,TÉCNICO SUPERIOR UNIVERSITARIO EN PROCESOS INDUSTRIALES ÁREA ARTES GRÁFICAS,
27,4021600001,PROFESIONAL ASOCIADO EN DISEÑO DE MODAS,
28,4021600002,TÉCNICO SUPERIOR UNIVERSITARIO EN DECORACIÓN DE INTERIORES,
29,4021600003,TÉCNICO SUPERIOR UNIVERSITARIO EN DISEÑO DE INTERIORES,
30,4021600004,TÉCNICO SUPERIOR UNIVERSITARIO EN DISEÑO DE MODAS,
31,4022200001,PROFESIONAL ASOCIADO EN INGLÉS,
32,4081100001,PROFESIONAL ASOCIADO EN DESARROLLO RURAL SUSTENTABLE,
33,4032100001,TÉCNICO SUPERIOR UNIVERSITARIO EN COMUNICACIONES,
34,4031500002,PROFESIONAL ASOCIADO EN GERONTOLOGÍA,
35,4031500003,TÉCNICO SUPERIOR UNIVERSITARIO EN TRABAJO SOCIAL,
36,4032100002,PROFESIONAL ASOCIADO EN COMUNICACIÓN SOCIAL,
37,4041200001,TÉCNICO SUPERIOR UNIVERSITARIO EN DISEÑO DE IMAGEN,
38,4032200001,PROFESIONAL ASOCIADO EN ARCHIVONOMÍA,
39,4032200002,PROFESIONAL ASOCIADO EN BIBLIOTECONOMÍA,
40,4032200003,TÉCNICO SUPERIOR UNIVERSITARIO EN GESTIÓN BIBLIOTECARIA,
41,4042000001,TÉCNICO SUPERIOR UNIVERSITARIO EN ADMINISTRACIÓN,
42,4041100001,PROFESIONAL ASOCIADO EN NEGOCIOS INTERNACIONALES,
43,4041100002,TÉCNICO SUPERIOR UNIVERSITARIO ASISTENTE DE NEGOCIOS INTERNACIONALES,
44,4041100004,TÉCNICO SUPERIOR UNIVERSITARIO EN COMERCIO INTERNACIONAL,
45,4041100005,TÉCNICO SUPERIOR UNIVERSITARIO EN DESARROLLO DE NEGOCIOS,
46,4041100006,TÉCNICO SUPERIOR UNIVERSITARIO EN NEGOCIOS INTERNACIONALES,
47,4041100007,TÉCNICO SUPERIOR UNIVERSITARIO EN OPERACIONES COMERCIALES INTERNACIONALES ÁREA CLASIFICACIÓN ARANCELARIA Y DESPACHO ADUANERO,
48,4041100008,TÉCNICO SUPERIOR UNIVERSITARIO EN OPERACIONES COMERCIALES INTERNACIONALES ÁREA NEGOCIOS INTERNACIONALES,
49,4041200005,PROFESIONAL ASOCIADO EN COMERCIALIZACIÓN,
50,4041200006,PROFESIONAL ASOCIADO EN COMERCIALIZACIÓN Y VENTAS,
51,4041200007,PROFESIONAL ASOCIADO EN MERCADOTECNIA Y PUBLICIDAD,
